Employee ID           Sales Amount
1849                        331.02
1254                        854.64
1257                        809.30
1534                        271.67
1245                        812.20
1236                        395.56
1544                        986.91
1858                        381.33
1857                        884.88
1258                        412.42
1568                       1102.74
1554                        849.83
1566                       1031.41
1266                        440.21
1556                        626.33
1829                        991.66
1258                        559.63
1237                        837.32
1838                       1124.23
1249                        530.36
1845                        275.57
1579                       1080.47
1277                       1183.02
1848                       1146.61
1838                        653.71
1575                        556.96
1229                        829.76
1824                        512.85
1279                        505.69
1236                        869.63
1837                        457.99
1844                        857.38
1259                       1159.58
1257                        628.17
1546                       1245.22
1237                        997.98
1869                       1123.57
1564                        748.97
1235                       1076.90
1265                        893.03
1259                        263.24
1865                       1247.52
1567                        966.92
1864                        694.07
1839                        474.29
1829                        538.23
1868                        981.58
1227                        282.97
1566                        850.75
1239                       1237.81
1536                        659.09
1876                        322.51
1864                        355.73
1267                        444.13
1246                        936.54
1577                        808.47
1844                        999.67
1259                        556.56
1246                        561.37
1868                       1108.29
1859                        503.05
1839                        553.86
1574                       1025.41
1534                        512.13
1834                        481.63
1239                        798.52
1247                        979.31
1229                        283.52
1266                       1103.21
1544                        335.61
1867                       1155.54
1834                       1197.43
1274                        268.80
1529                        685.16
1277                        790.88
1256                        591.90
1549                        282.44
1528                       1143.01
1275                        548.41
1576                        918.17
1256                       1024.38
1255                        574.18
1245                        941.96
1238                        781.24
1244                        617.80
1878                        712.70
1236                        251.16
1849                        491.03
1827                        607.09
1244                        955.01
1834                        952.85
1844                       1110.95
1564                        627.58
1845                        662.78
1259                        630.12
1258                        993.02
1829                        573.73
1237                        950.30
1225                        409.75
1549                        842.52
1534                        277.91
1237                        993.33
1846                        870.26
1269                        251.02
1259                        674.61
1875                        815.44
1235                        472.30
1275                        751.07
1845                        477.18
1827                        589.91
1527                        477.72
1259                        357.25
1856                        352.08
1874                        437.04
1274                        369.02
1228                        617.81
1537                        585.58
1867                        719.05
1267                        778.32
1847                       1158.78
1555                        252.04
1844                        837.42
1535                        900.87
1565                        730.56
1579                        900.59
1228                        530.75
1227                        420.03
1267                        757.04
1566                        708.43
1556                        670.14
1534                        934.72
1544                        384.22
1839                       1169.48
1544                        557.01
1529                        870.47
1579                       1019.30
1529                        252.71
1249                        721.50
1559                        911.85
1859                        384.31
1825                       1084.80
1557                       1215.29
1267                        916.46
1848                       1063.20
1265                       1112.41
1575                        410.01
1229                        341.45
1545                        542.45
1837                        781.89
1877                        299.03
1256                       1165.45
1557                        767.21
1837                        708.57
1879                        289.90
1247                        304.12
1548                       1179.87
1554                        344.40
1269                        495.14
1569                        544.08
1855                        268.17
1526                       1159.28
1554                        543.65
1565                        952.40
1845                        620.86
1844                        300.73
1868                        864.52
1276                        804.63
1234                        460.76
1837                        778.17
1276                        490.44
1555                       1006.22
1258                        702.37
1568                       1124.61
1824                        352.53
1558                       1013.56
1536                        494.01
1248                        572.92
1854                       1080.70
1538                        255.42
1859                        267.41
1244                        730.54
1254                        291.52
1544                       1059.98
1845                        280.82
1578                        746.72
1539                        396.58
1847                       1064.28
1867                        667.61
1234                        986.29
1275                        892.32
1537                       1151.20
1254                        986.42
1569                       1199.84
1544                       1156.44
1847                        862.97
1575                        261.70
1827                       1198.47
1536                        749.71
1859                        320.14
1836                        535.89
1244                       1024.04
1548                       1208.38
1227                        653.08
1848                        915.99
1554                        621.92
1828                        341.99
1569                        916.93
1244                       1113.69
1258                       1010.17
1545                       1032.74
1867                        510.12
1847                        502.93
1555                        955.31
1557                        529.39
1547                       1109.34
1254                        658.10
1576                       1143.57
1549                       1246.56
1536                       1076.02
1524                        407.54
1227                        846.59
1524                       1056.65
1526                        388.32
1558                        371.76
1247                       1102.66
1554                       1094.13
1874                       1062.60
1524                       1018.96
1576                        381.48
1879                       1049.47
1268                       1067.45
1564                       1207.18
1278                        763.38
1535                        959.45
1276                        754.12
1546                       1234.92
1549                        599.02
1528                        515.03
1538                        775.52
1228                        380.21
1265                        696.70
1548                        853.74
1566                        504.74
1264                        959.25
1554                        980.02
1835                        849.50
1556                        964.96
1567                        863.53
1247                        668.16
1226                        922.98
1548                       1239.03
1868                        608.40
1264                        948.58
1268                        323.50
1879                        405.36
1567                        885.20
1855                       1141.30
1578                        944.34
1849                        951.48
1254                        602.90
1228                        377.59
1565                        598.65
1575                        692.99
1239                        434.13
1254                        769.23
1568                        831.74
1874                       1205.01
1834                        870.89
1238                       1083.24
1548                       1212.03
1539                        737.26
1238                        756.57
1868                        906.09
1229                       1128.32
1564                        637.43
1539                        348.61
1259                        326.48
1229                       1088.71
1226                        271.27
1857                        854.62
1868                       1099.54
1525                        511.94
1274                        452.98
1247                        482.92
1856                        317.58
1848                       1032.24
1824                        350.27
1236                        989.73
1828                        589.32
1228                        290.69
1837                        926.79
1845                        724.75
1529                        707.60
1265                       1234.12
1556                        845.17
1859                       1180.23
1875                        816.66
1837                        910.40
1875                        905.44
1558                       1034.64
1866                       1093.85
1878                        765.35
1566                        951.06
1576                        702.76
1876                        912.87
1536                        443.10
1876                        305.40
1235                        380.26
1236                        520.48
1846                       1080.91
1875                        682.69
1254                        593.84
1875                       1206.78
1579                       1100.57
1258                        613.55
1574                       1240.85
1878                        976.90
1855                        515.23
1245                        371.96
1237                       1143.34
1559                        721.26
1579                        721.80
1257                        386.71
1536                       1095.75
1837                        894.30
1878                        792.75
1246                       1175.44
1876                        402.96
1877                        677.72
1869                        280.52
1856                        752.08
1554                        938.93
1546                        655.19
1577                        512.36
1867                        566.87
1247                        680.78
1249                        988.61
1254                        384.69
1258                        908.81
1826                        767.44
1564                       1083.84
1238                        662.95
1528                        842.66
1245                       1041.71
1526                        764.92
1265                        774.97
1225                        621.43
1526                       1092.93
1844                        947.83
1869                       1111.85
1237                        616.37
1867                        809.02
1567                        810.68
1827                        820.28
1276                        731.41
1846                        425.16
1244                        463.51
1238                       1108.41
1268                        327.22
1845                       1065.83
1577                       1126.46
1558                       1029.24
1278                        646.62
1229                        791.49
1554                        792.54
1865                        789.43
1245                        729.61
1568                       1150.62
1544                        407.86
1876                        538.71
1228                        844.85
1227                       1220.38
1528                        539.35
1548                        671.69
1855                        399.61
1869                       1159.70
1256                        546.03
1866                        619.27
1534                        374.30
1278                       1249.90
1238                        255.68
1234                       1153.46
1836                       1236.42
1274                        446.76
1838                       1129.14
1846                       1175.74
1845                        358.08
1238                        426.20
1246                        937.03
1865                       1018.96
1256                        953.94
1535                       1128.32
1576                        935.94
1226                       1243.66
1559                        483.73
1869                        805.06
1856                        527.22
1226                        932.92
1264                        590.22
1274                        571.27
1529                        443.17
1825                        490.77
1567                        511.69
1856                        447.34
1567                        411.83
1576                        942.02
1274                       1005.96
1525                        906.32
1548                        326.14
1238                        722.59
1878                        772.82
1536                        923.50
1826                        923.75
1264                        979.42
1877                        375.05
1576                        518.56
1264                        950.20
1546                        370.82
1844                        665.89
1876                        809.13
1538                        839.66
1849                        358.28
1277                        700.03
1238                        551.93
1526                        879.21
1844                       1006.90
1236                       1164.09
1859                       1192.39
1227                        884.52
1845                        275.20
1574                        296.61
1847                        407.71
1869                        369.10
1859                        827.51
1869                        308.52
1237                       1163.55
1227                       1224.07
1576                        310.79
1245                        305.15
1224                       1246.04
1869                        877.33
1246                       1167.04
1527                        710.69
1869                        323.49
1538                        974.36
1566                        925.11
1279                       1186.19
1865                        484.41
1826                        549.40
1528                        994.11
1549                       1053.03
1824                        284.18
1564                        693.21
1828                        964.22
1567                       1216.93
1877                        297.15
1864                        730.33
1277                        404.08
1527                        586.39
1848                       1160.21
1537                        885.75
1836                       1157.64
1567                        998.72
1876                       1119.96
1835                        459.21
1545                       1133.52
1854                        634.52
1829                       1076.25
1874                        500.88
1239                        612.87
1565                        950.61
1847                       1139.37
1529                        972.65
1256                       1042.73
1235                       1090.58
1565                        663.59
1824                        432.80
1555                        325.89
1259                        814.77
1259                        805.30
1558                       1198.30
1536                        629.25
1247                        917.68
1276                        563.60
1277                       1022.49
1528                        672.66
1547                       1151.05
1829                        326.47
1227                        262.35
1856                        526.32
1859                        647.30
1835                        923.28
1267                        555.23
1875                        911.60
1547                        841.49
1875                       1165.99
1528                        987.04
1229                        995.43
1248                        887.86
1544                        898.70
1529                        763.07
1577                        685.13
1559                        586.76
1869                        544.80
1235                        385.14
1229                        431.80
1239                        808.18
1258                       1152.56
1235                        320.38
1875                        518.13
1266                        409.70
1555                        943.22
1237                       1171.45
1234                        864.84
1279                        657.01
1276                        356.63
1565                        349.29
1227                        317.46
1849                       1152.84
1527                        599.38
1535                       1250.33
1877                        455.73
1868                       1247.50
1268                        690.33
1867                        918.24
1274                        875.46
1277                        975.84
1837                       1009.79
1839                       1224.16
1247                        998.86
1259                        464.72
1824                        339.13
1555                        536.44
1876                        362.44
1248                        864.04
1558                        424.82
1555                        890.87
1269                        421.34
1525                        764.16
1848                       1001.12
1279                        662.41
1538                        837.20
1254                       1120.94
1277                        357.16
1564                        741.42
1224                        283.51
1225                        671.20
1239                        374.52
1225                       1200.43
1226                        737.49
1247                        867.72
1268                       1077.37
1547                        465.32
1275                        277.44
1539                        283.67
1278                        673.10
1579                        995.10
1575                        384.58
1545                        549.69
1539                       1110.37
1839                        445.12
1838                        730.42
1548                        766.29
1577                       1113.77
1834                        342.80
1546                        482.66
1259                        429.87
1246                        739.92
1535                        259.89
1239                       1098.49
1247                        855.20
1826                        420.04
1855                        481.18
1579                        620.46
1238                       1094.40
1256                        509.12
1554                       1182.75
1256                        473.87
1545                        359.44
1856                        329.49
1277                       1094.70
1239                        766.62
1829                        946.11
1566                        720.95
1559                        682.38
1227                       1081.55
1276                        654.50
1555                       1083.34
1554                        811.11
1245                        774.32
1267                        711.99
1568                        929.71
1266                        924.46
1835                        775.74
1239                       1189.75
1255                        928.89
1828                        706.94
1825                        880.67
1576                        934.69
1839                        451.59
1547                        266.25
1559                        548.35
1827                        981.98
1544                        622.04
1875                        800.01
1247                       1202.27
1559                        480.02
1555                        861.09
1254                        767.01
1246                       1021.54
1879                       1118.91
1228                        932.80
1236                        558.92
1555                       1241.72
1564                       1037.46
1847                        490.59
1235                        673.56
1258                        949.20
1554                        258.66
1258                       1130.79
1239                        389.58
1566                        381.05
1835                        609.66
1838                        928.81
1536                        933.76
1237                        720.42
1537                       1133.26
1844                        495.71
1224                       1151.68
1234                        390.32
1578                       1024.92
1234                        520.32
1237                        686.01
1239                        856.05
1226                       1039.18
1544                        817.87
1575                        644.19
1548                        918.02
1266                        427.71
1248                        873.06
1246                        769.73
1829                        510.14
1836                        346.77
1828                        892.70
1869                       1114.88
1874                        997.64
1226                        788.18
1555                        348.79
1236                       1214.91
1258                        969.48
1825                        996.82
1566                       1025.19
1828                        754.81
1245                        541.15
1877                        391.62
1256                        567.65
1277                        746.56
1566                       1151.08
1568                        996.02
1277                        526.48
1835                       1200.82
1557                        851.48
1229                        347.99
1249                        907.62
1276                        290.22
1835                       1110.70
1869                        928.48
1858                       1216.28
1549                       1035.04
1534                       1106.06
1869                       1084.43
1565                       1005.02
1856                        462.49
1267                        528.28
1846                        443.22
1825                        922.41
1259                        285.40
1245                        870.27
1869                        847.72
1866                        254.05
1526                       1076.49
1839                       1227.52
1825                        762.68
1827                        980.29
1876                        927.11
1524                        590.98
1268                       1208.81
1874                        307.24
1278                        638.41
1267                        653.35
1835                       1177.21
1228                        731.44
1836                        375.16
1848                       1097.03
1275                        554.34
1828                        573.96
1558                        853.94
1564                        392.41
1845                        547.57
1235                       1029.00
1559                        996.86
1558                       1101.76
1265                        596.08
1527                        719.97
1575                       1120.83
1264                        661.58
1574                        807.44
1544                        731.18
1547                        597.27
1579                        697.46
1579                        864.49
1565                       1171.86
1567                       1033.36
1825                        807.44
1858                        457.91
1845                       1205.82
1576                        933.77
1825                        865.90
1265                       1206.17
1846                        610.55
1838                        880.87
1276                        813.84
1879                       1073.00
1855                        823.84
1527                       1203.51
1547                        964.83
1824                        292.40
1226                        479.85
1258                       1148.22
1236                        793.32
1249                        794.11
1278                        468.77
1278                        552.95
1855                       1238.49
1264                       1116.62
1249                        476.90
1827                       1015.30
1229                        494.66
1225                        835.59
1248                       1032.26
1555                        571.30
1858                        313.08
1857                        485.93
1578                       1057.70
1546                        858.57
1824                        798.36
1534                        981.19
1554                        911.52
1555                        795.11
1275                        700.28
1578                        533.61
1529                        937.59
1548                        747.50
1279                       1217.16
1524                       1083.57
1559                        510.91
1278                       1204.68
1568                        288.75
1225                       1211.58
1279                        586.77
1878                        948.12
1576                        395.53
1276                        567.80
1857                        744.35
1524                        726.61
1824                        854.62
1869                        790.95
1559                        737.80
1866                        422.48
1248                        614.13
1529                        928.87
1545                        534.88
1868                        731.30
1828                        555.00
1524                        361.47
1278                        875.07
1844                        326.18
1566                        283.39
1577                       1229.20
1245                        308.15
1237                        535.43
1226                        431.49
1849                        340.07
1835                        747.34
1234                        512.85
1256                        449.94
1876                        606.10
1556                        505.90
1545                        903.46
1845                        906.65
1545                        957.33
1235                        855.22
1864                       1027.69
1875                        286.15
1255                        765.30
1235                       1068.46
1526                        540.16
1547                        285.51
1578                        766.02
1825                        962.66
1866                        613.90
1856                        606.62
1824                        481.45
1565                        950.30
1264                        600.07
1869                        257.10
1529                       1141.54
1856                        585.47
1874                       1210.23
1576                        351.65
1254                       1101.62
1569                        610.44
1854                       1180.03
1235                        395.90
1848                        774.47
1877                        502.81
1549                        448.48
1558                       1097.79
1879                       1041.77
1277                        518.05
1859                        824.67
1844                        653.40
1265                       1180.07
1557                       1248.69
1544                       1158.99
1555                        551.32
1239                        286.30
1558                        650.86
1555                       1020.89
1824                        867.53
1225                       1194.74
1275                        612.47
1846                        863.12
1526                       1057.73
1268                        896.52
1877                        989.74
1867                        702.41
1859                        257.22
1279                        469.56
1548                       1149.38
1268                        281.78
1835                       1086.25
1268                        496.13
1555                       1026.14
1564                        750.22
1854                        929.88
1268                        983.76
1539                        663.97
1249                        829.94
1857                        746.33
1538                        784.77
1825                        261.60
1544                        488.10
1854                        364.87
1556                        527.24
1568                        723.66
1524                       1115.06
1825                        276.14
1258                       1030.49
1556                        702.29
1526                       1187.12
1559                        935.05
1559                       1221.07
1536                       1150.23
1866                        444.70
1276                        551.10
1539                        569.24
1539                        362.46
1555                        560.14
1539                        390.25
1846                        998.97
1579                        526.29
1855                        316.90
1264                        573.32
1834                        311.40
1558                        767.98
1836                        270.31
1275                        366.78
1257                       1115.85
1835                        692.82
1524                        929.78
1256                        982.17
1837                       1237.27
1234                        444.80
1867                        421.56
1225                        878.92
1549                        649.25
1229                       1244.64
1866                        671.98
1867                        548.74
1255                        893.53
1227                        434.48
1876                       1066.14
1548                        826.43
1247                        996.91
1877                       1035.93
1235                        630.19
1869                        675.32
1565                        900.81
1825                        782.70
1535                        699.04
1827                        493.05
1579                        374.20
1578                        680.71
1834                       1088.63
1869                        900.97
1828                        447.13
1878                       1043.71
1267                        764.59
1545                       1044.99
1224                        320.68
1227                       1049.36
1225                       1020.56
1239                        391.94
1847                        795.44
1879                        778.88
1258                       1147.87
1865                       1028.43
1874                       1193.55
1554                        769.12
1267                        600.78
1856                        452.22
1279                        774.11
1866                       1058.19
1547                        679.26
1238                        875.05
1244                        668.20
1549                        728.56
1257                        695.15
1839                       1017.03
1854                        285.39
1574                        959.69
1246                        641.94
1268                        399.48
1824                       1247.67
1875                        569.12
1826                        367.02
1845                       1153.31
1579                        800.98
1225                       1067.07
1534                        253.37
1276                        298.86
1229                        746.17
1874                       1194.58
1229                        376.83
1229                        560.24
1567                        858.48
1837                        975.09
1566                       1186.81
1574                        651.26
1264                        806.56
1845                        261.58
1837                        675.53
1829                       1074.71
1255                        573.91
1266                        783.14
1538                       1052.79
1836                        418.26
1279                        384.88
1559                        690.11
1855                        911.12
1838                       1159.84
1834                       1126.18
1566                        602.68
1244                        909.63
1858                        948.42
1247                        263.83
1547                       1155.01
1838                        931.14
1829                        415.47
1554                        268.65
1548                       1048.80
1557                        763.97
1554                        465.76
1858                        541.26
1566                        588.47
1266                        271.16
1229                       1074.70
1257                        825.56
1278                        743.68
1538                       1064.20
1527                        582.27
1524                       1138.71
1256                        681.52
1244                        669.28
1544                        499.32
1527                       1188.60
1278                        822.09
1557                       1206.02
1224                        793.44
1269                        295.87
1266                        383.58
1875                        553.68
1845                        690.36
1275                        819.35
1549                        424.92
1275                       1028.92
1549                        973.73
1246                       1073.08
1237                        399.88
1876                        549.04
1874                        775.57
1529                        753.80
1535                       1198.65
1278                        316.67
1229                        881.06
1875                        854.88
1265                        694.01
1565                        979.08
1877                        518.94
1557                       1094.86
1225                        797.88
1529                        303.84
1559                        659.34
1866                        838.43
1248                        990.44
1534                        356.09
1574                        815.17
1847                        515.88
1277                        385.78
1826                       1164.27
1825                        333.96
1528                        547.09
1879                        266.95
1826                        894.37
1254                       1195.21
1578                        763.07
1575                       1136.64
1564                        519.61
1527                        310.28
1879                        324.87
1876                        262.21
1837                        998.76
1834                        317.71
1868                       1150.11
1276                        727.36
1874                        937.80
1879                        880.13
1226                        832.95
1238                        972.21
1565                        771.17
1537                        479.56
1557                       1063.56
1228                        845.93
1824                        428.54
1848                        717.33
1234                        552.15
1869                       1148.82
1535                        509.00
1255                       1107.38
1246                        456.41
1864                        684.94
1524                        952.84
1525                        375.18
1275                        289.49
1527                        803.23
1566                       1207.74
1248                        258.01
1846                        355.54
1876                        448.09
1226                        909.52
1277                        796.93
1835                        666.63
1525                        705.51
1548                       1050.38
1239                       1130.02
1274                        358.28
1875                        847.67
1564                        648.64
1859                        800.33
1577                        625.40
1829                        882.06
1556                        922.96
1576                        543.20
1536                       1130.84
1545                        598.08
1234                        963.09
1249                        591.11
1836                        932.30
1226                       1117.15
1549                        903.08
1877                        460.07
1868                        907.87
1249                        929.33
1279                        591.04
1536                        256.46
1249                        670.99
1555                        452.40
1874                        765.35
1859                        469.39
1275                        997.93
1244                       1072.50
1567                        718.43
1257                        267.55
1876                        745.78
1538                        689.25
1555                        478.93
1528                        295.61
1825                        276.97
1244                        769.32
1576                        472.51
1249                        976.04
1268                        381.18
1548                        885.54
1567                        706.03
1854                        296.46
1564                        694.88
1845                        769.57
1844                        428.31
1256                       1118.55
1528                        624.31
1229                        856.94
1874                        309.38
1225                        961.35
1849                        768.96
1544                        330.67
1228                       1107.16
1835                        311.18
1847                        839.52
1546                        675.45
1227                        842.76
1575                        411.94
1854                       1085.41
1529                        717.13
1567                        471.16
1838                        558.02
1859                       1212.76
1825                       1175.95
1226                       1056.48
1238                        903.61
1529                        804.87
1824                        703.05
1578                        434.71
1837                        743.61
1846                       1249.19
1255                        443.66
1276                        395.92
1529                        324.96
1237                       1155.86
1248                       1068.65
1256                        350.00
1575                       1133.50
1244                        276.61
1237                        327.66
1826                        502.95
1526                        695.34
1577                        936.34
1879                       1100.73
1229                        521.52
1254                        876.70
1239                        942.00
1266                        933.37
1566                        712.51
1237                        671.30
1574                       1017.18
1539                       1096.21
1577                        692.51
1878                        506.19
1569                        713.99
1548                       1123.07
1276                        557.09
1264                       1037.12
1566                        838.65
1278                        860.61
1237                        556.55
1225                        439.42
1526                        375.38
1247                       1016.40
1279                        264.18
1838                       1213.33
1839                        909.95
1866                       1205.54
1268                        250.97
1555                        472.85
1277                        538.63
1846                        492.82
1879                        255.85
1554                        750.16
1244                        309.69
1568                        448.23
1235                        857.41
1555                        286.39
1268                       1130.38
1854                        687.17
1876                        648.17
1235                        834.07
1579                       1193.40
1238                        919.99
1527                        904.29
1547                        947.93
1876                        898.91
1854                        494.13
1538                        756.79
1279                        783.27
1575                        276.00
1555                        452.74
1237                        863.33
1575                        399.84
1566                        911.68
1836                       1066.75
1838                        586.38
1554                        547.17
1529                        355.35
1279                        891.51
1257                        654.01
1545                        973.46
1878                       1059.80
1227                        311.90
1555                        342.13
1248                       1210.92
1548                        789.71
1558                        586.92
1825                       1140.15
1266                        880.62
1238                        550.57
1537                        397.82
1577                        924.29
1854                        487.88
1539                       1010.26
1244                        897.70
1547                        629.30
1224                        716.11
1879                        415.94
1535                        250.61
1247                        424.66
1875                       1228.17
1238                       1020.59
1238                        689.18
1535                        377.35
1264                        959.22
1254                       1003.00
1576                       1053.70
1569                        633.06
1277                        915.10
1278                        892.22
1525                        838.78
1848                       1083.94
1245                        469.19
1227                        485.55
1268                        745.40
1848                        536.84
1235                       1161.74
1275                        270.05
1554                        725.54
1276                        391.03
1878                        991.75
1546                        351.52
1268                        526.33
1868                        812.43
1228                       1216.35
1878                        867.94
1529                        741.59
1869                        392.35
1546                        649.61
1576                        913.51
1227                        352.00
1847                        336.74
1827                        457.94
1867                        965.11
1558                        783.67
1274                       1123.92
1554                        454.94
1556                        800.29
1878                        438.26
1875                        680.78
1279                        900.75
1825                        919.75
1564                        757.61
1265                       1062.56
1259                        798.91
1876                        466.31
1535                        755.80
1556                        610.05
1279                        690.74
1264                        653.42
1846                       1076.84
1546                        636.37
1228                        955.15
1258                        681.14
1239                        533.68
1577                        586.13
1848                        605.08
1547                       1163.61
1558                       1162.91
1876                        717.24
1875                        582.28
1565                       1039.05
1568                        761.80
1558                        265.09
1257                        557.70
1834                       1011.24
1845                        944.96
1548                       1122.35
1547                       1222.37
1557                        451.48
1226                        682.41
1266                       1001.10
1559                       1091.73
1565                        833.11
1245                        357.22
1266                       1113.67
1276                        795.49
1825                        650.50
1824                        302.61
1229                        337.81
1268                        882.03
1846                        836.47
1227                        849.55
1268                        896.46
1827                       1109.20
1565                        690.37
1267                        880.87
1834                        520.95
1554                       1242.70
1274                        294.47
1856                        871.89
1525                       1126.77
1836                        352.99
1277                        443.00
1574                        436.49
1227                        986.77
1268                        613.56
1238                       1055.65
1568                        382.78
1549                        399.93
1234                        596.87
1229                       1104.48
1856                       1247.14
1556                        867.57
1549                       1071.65
1859                       1034.50
1826                        352.87
1245                        760.07
1547                        296.80
1526                        686.56
1274                        346.32
1537                        493.17
1234                        823.74
1524                        717.91
1834                        256.42
1844                       1197.61
1244                        789.24
1268                        524.13
1836                       1028.89
1224                        888.45
1579                        712.83
1567                        663.67
1829                        578.77
1877                       1143.75
1549                        794.61
1877                        773.78
1526                        340.58
1526                        269.83
1564                        711.64
1274                        998.02
1536                        309.88
1225                        978.98
1529                        915.80
1267                        907.24
1268                        592.44
1244                        553.74
1839                        427.13
1554                        919.08
1856                        450.80
1549                        527.58
1235                       1138.70
1245                       1222.92
1536                        850.41
1836                        849.18
1548                        600.98
1845                       1196.39
1575                        507.19
1574                        559.13
1535                        330.66
1229                        333.37
1839                        436.73
1856                        961.19
1245                        602.08
1838                        664.42
1559                        996.81
1846                        290.99
1858                        744.01
1236                        677.83
1568                        433.55
1857                        891.31
1579                        938.07
1276                        735.04
1827                        938.01
1234                        881.80
1267                        513.55
1867                       1009.68
1247                       1180.32
1254                        333.17
1565                        746.80
1538                        887.04
1879                        364.25
1575                        937.00
1876                       1155.07
1869                        906.00
1564                        773.37
1834                       1179.91
1855                        297.86
1226                       1169.61
1225                        814.61
1255                       1009.32
1547                       1069.82
1547                        265.00
1267                        568.39
1528                       1015.71
1867                        496.06
1868                        699.88
1554                        834.23
1259                       1094.29
1857                       1038.05
1866                        803.56
1865                        677.89
1226                        623.29
1244                        378.94
1876                       1168.38
1276                        476.90
1274                       1133.69
1256                        727.47
1837                        558.74
1267                        470.75
1527                        479.42
1568                        613.26
1269                        336.55
1549                        804.47
1567                        514.13
1878                       1185.76
1256                        387.24
1224                       1077.71
1848                        256.40
1577                       1003.51
1224                        535.24
1546                        387.41
1874                        568.49
1248                        341.09
1875                        468.96
1259                        883.85
1234                        322.57
1257                        982.41
1855                       1164.24
1835                        803.29
1544                       1075.45
1546                        511.60
1559                        801.42
1268                       1032.09
1554                       1240.81
1549                       1119.39
1865                       1194.73
1556                       1137.29
1869                        756.96
1828                        892.92
1226                        703.33
1875                        925.74
1234                        265.04
1529                        614.14
1247                        666.80
1269                        481.68
1579                        780.77
1826                       1062.64
1245                        313.07
1877                        722.91
1879                        855.71
1568                        801.04
1539                       1194.97
1569                        438.33
1235                        261.94
1848                        483.83
1567                       1093.17
1226                        842.10
1525                       1157.33
1279                        645.72
1577                        457.68
1874                        615.23
1554                        758.28
1536                       1002.54
1558                        318.82
1827                        457.66
1224                        513.93
1547                       1246.53
1248                        710.75
